<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.01.15	22:00:00	1.33854	1.33855	1.33742	1.33755	2037	0	4
2026.01.15	23:00:00	1.33754	1.33823	1.33753	1.33798	872	0	5
2026.01.16	00:00:00	1.33725	1.33804	1.33725	1.33746	639	0	63
2026.01.16	01:00:00	1.33744	1.33822	1.33721	1.33807	2458	0	6
2026.01.16	02:00:00	1.33808	1.33820	1.33702	1.33763	1356	0	5
2026.01.16	03:00:00	1.33755	1.33836	1.33749	1.33794	1657	0	5
2026.01.16	04:00:00	1.33793	1.33877	1.33786	1.33840	2075	0	5
2026.01.16	05:00:00	1.33845	1.33906	1.33827	1.33904	1178	0	5
2026.01.16	06:00:00	1.33905	1.33910	1.33880	1.33887	765	0	5
2026.01.16	07:00:00	1.33888	1.33894	1.33812	1.33826	889	0	5
2026.01.16	08:00:00	1.33824	1.33837	1.33768	1.33802	1148	0	5
2026.01.16	09:00:00	1.33801	1.33919	1.33773	1.33902	3185	0	4
2026.01.16	10:00:00	1.33905	1.33979	1.33892	1.33931	3264	0	4
2026.01.16	11:00:00	1.33929	1.34050	1.33903	1.33968	2629	0	4
2026.01.16	12:00:00	1.33967	1.34129	1.33967	1.34056	2534	0	4
2026.01.16	13:00:00	1.34056	1.34119	1.34045	1.34075	2348	0	4
2026.01.16	14:00:00	1.34072	1.34099	1.33925	1.34000	2929	0	4
2026.01.16	15:00:00	1.33999	1.34078	1.33883	1.34032	3748	0	4
2026.01.16	16:00:00	1.34031	1.34048	1.33947	1.33979	3830	0	4
2026.01.16	17:00:00	1.33978	1.34037	1.33658	1.33778	6700	0	4
2026.01.16	18:00:00	1.33777	1.33899	1.33772	1.33815	4847	0	4
2026.01.16	19:00:00	1.33813	1.33865	1.33761	1.33785	2635	0	4
2026.01.16	20:00:00	1.33782	1.33866	1.33733	1.33794	2339	0	4
2026.01.16	21:00:00	1.33795	1.33845	1.33755	1.33813	1940	0	4
2026.01.16	22:00:00	1.33814	1.33861	1.33785	1.33804	1752	0	4
2026.01.16	23:00:00	1.33805	1.33825	1.33737	1.33743	1744	0	4
2026.01.19	00:00:00	1.33432	1.33497	1.33392	1.33470	808	0	77
2026.01.19	01:00:00	1.33479	1.34066	1.33476	1.34017	3912	0	6
2026.01.19	02:00:00	1.34018	1.34087	1.33822	1.34005	4292	0	5
2026.01.19	03:00:00	1.34008	1.34028	1.33908	1.33916	3710	0	5
2026.01.19	04:00:00	1.33917	1.33932	1.33812	1.33864	2729	0	5
2026.01.19	05:00:00	1.33863	1.33916	1.33856	1.33879	2484	0	5
2026.01.19	06:00:00	1.33880	1.33962	1.33879	1.33947	2077	0	5
2026.01.19	07:00:00	1.33948	1.34058	1.33928	1.33947	2448	0	5
2026.01.19	08:00:00	1.33946	1.34005	1.33939	1.33984	1818	0	5
2026.01.19	09:00:00	1.33983	1.34099	1.33839	1.33886	3885	0	4
2026.01.19	10:00:00	1.33888	1.34093	1.33868	1.34086	3664	0	4
2026.01.19	11:00:00	1.34087	1.34154	1.33903	1.34056	4392	0	4
2026.01.19	12:00:00	1.34058	1.34127	1.34048	1.34096	2937	0	4
2026.01.19	13:00:00	1.34095	1.34104	1.34017	1.34084	2496	0	4
2026.01.19	14:00:00	1.34081	1.34144	1.34046	1.34057	2350	0	4
2026.01.19	15:00:00	1.34056	1.34165	1.34053	1.34135	2601	0	4
2026.01.19	16:00:00	1.34133	1.34241	1.34103	1.34202	2574	0	4
2026.01.19	17:00:00	1.34199	1.34285	1.34186	1.34215	3381	0	4
2026.01.19	18:00:00	1.34216	1.34346	1.34204	1.34276	2168	0	4
2026.01.19	19:00:00	1.34282	1.34335	1.34261	1.34311	1522	0	4
2026.01.19	20:00:00	1.34310	1.34335	1.34258	1.34264	1259	0	4
2026.01.19	21:00:00	1.34263	1.34295	1.34253	1.34254	551	0	4
2026.01.19	22:00:00	1.34253	1.34283	1.34245	1.34275	503	0	4
2026.01.19	23:00:00	1.34274	1.34283	1.34218	1.34257	456	0	5
2026.01.20	00:00:00	1.34218	1.34263	1.34134	1.34181	787	0	63
2026.01.20	01:00:00	1.34165	1.34257	1.34159	1.34187	663	0	6
2026.01.20	02:00:00	1.34188	1.34198	1.34099	1.34180	1358	0	5
2026.01.20	03:00:00	1.34181	1.34239	1.34158	1.34234	2090	0	5
2026.01.20	04:00:00	1.34235	1.34281	1.34196	1.34236	1187	0	5
2026.01.20	05:00:00	1.34235	1.34399	1.34230	1.34349	1383	0	5
2026.01.20	06:00:00	1.34350	1.34426	1.34348	1.34406	1403	0	5
2026.01.20	07:00:00	1.34407	1.34496	1.34403	1.34411	1464	0	5
2026.01.20	08:00:00	1.34410	1.34434	1.34312	1.34344	2153	0	5
2026.01.20	09:00:00	1.34341	1.34824	1.34254	1.34744	4836	0	4
2026.01.20	10:00:00	1.34745	1.34913	1.34742	1.34780	6398	0	4
2026.01.20	11:00:00	1.34780	1.34887	1.34699	1.34748	5415	0	4
2026.01.20	12:00:00	1.34747	1.34849	1.34641	1.34797	4966	0	4
2026.01.20	13:00:00	1.34798	1.34826	1.34588	1.34631	4894	0	4
2026.01.20	14:00:00	1.34631	1.34655	1.34393	1.34455	4452	0	4
2026.01.20	15:00:00	1.34457	1.34790	1.34409	1.34524	6705	0	4
2026.01.20	16:00:00	1.34523	1.34625	1.34405	1.34579	7354	0	4
2026.01.20	17:00:00	1.34578	1.34769	1.34522	1.34565	5622	0	4
2026.01.20	18:00:00	1.34566	1.34702	1.34533	1.34691	5023	0	4
2026.01.20	19:00:00	1.34686	1.34754	1.34559	1.34562	3984	0	4
2026.01.20	20:00:00	1.34561	1.34573	1.34418	1.34427	2800	0	4
2026.01.20	21:00:00	1.34424	1.34448	1.34263	1.34275	2836	0	4
2026.01.20	22:00:00	1.34275	1.34354	1.34251	1.34333	3223	0	4
2026.01.20	23:00:00	1.34332	1.34407	1.34318	1.34404	1832	0	5
2026.01.21	00:00:00	1.34393	1.34460	1.34343	1.34379	1433	0	63
2026.01.21	01:00:00	1.34381	1.34423	1.34355	1.34402	1258	0	6
2026.01.21	02:00:00	1.34400	1.34424	1.34330	1.34422	1510	0	5
2026.01.21	03:00:00	1.34421	1.34563	1.34395	1.34516	2735	0	5
2026.01.21	04:00:00	1.34517	1.34543	1.34433	1.34437	1572	0	5
2026.01.21	05:00:00	1.34459	1.34460	1.34330	1.34401	1836	0	5
2026.01.21	06:00:00	1.34396	1.34396	1.34329	1.34374	1327	0	5
2026.01.21	07:00:00	1.34373	1.34401	1.34351	1.34373	1494	0	5
2026.01.21	08:00:00	1.34372	1.34424	1.34351	1.34366	1616	0	5
2026.01.21	09:00:00	1.34359	1.34487	1.34290	1.34423	4088	0	4
2026.01.21	10:00:00	1.34421	1.34476	1.34329	1.34385	3952	0	4
2026.01.21	11:00:00	1.34384	1.34384	1.34082	1.34101	3280	0	4
2026.01.21	12:00:00	1.34100	1.34146	1.34030	1.34072	3382	0	4
2026.01.21	13:00:00	1.34072	1.34213	1.34010	1.34095	3759	0	4
2026.01.21	14:00:00	1.34097	1.34261	1.34013	1.34246	4410	0	4
2026.01.21	15:00:00	1.34247	1.34438	1.34116	1.34415	4170	0	4
2026.01.21	16:00:00	1.34416	1.34562	1.34224	1.34507	7068	0	4
2026.01.21	17:00:00	1.34509	1.34590	1.34244	1.34270	6182	0	4
2026.01.21	18:00:00	1.34269	1.34406	1.34235	1.34277	5584	0	4
2026.01.21	19:00:00	1.34276	1.34381	1.34163	1.34278	5364	0	4
2026.01.21	20:00:00	1.34277	1.34278	1.34182	1.34213	3808	0	4
2026.01.21	21:00:00	1.34215	1.34303	1.34096	1.34253	5346	0	4
2026.01.21	22:00:00	1.34253	1.34260	1.34119	1.34244	3161	0	4
2026.01.21	23:00:00	1.34243	1.34318	1.34231	1.34291	1154	0	5
2026.01.22	00:00:00	1.34205	1.34315	1.34205	1.34260	1603	0	63
2026.01.22	01:00:00	1.34261	1.34305	1.34175	1.34176	1054	0	6
2026.01.22	02:00:00	1.34175	1.34310	1.34165	1.34290	1983	0	5
2026.01.22	03:00:00	1.34289	1.34315	1.34244	1.34300	2308	0	5
2026.01.22	04:00:00	1.34301	1.34351	1.34223	1.34252	1681	0	5
2026.01.22	05:00:00	1.34253	1.34331	1.34253	1.34321	1172	0	5
2026.01.22	06:00:00	1.34321	1.34391	1.34300	1.34314	1177	0	5
2026.01.22	07:00:00	1.34312	1.34312	1.34232	1.34288	1357	0	5
2026.01.22	08:00:00	1.34287	1.34294	1.34203	1.34256	1658	0	5
2026.01.22	09:00:00	1.34275	1.34370	1.34229	1.34310	2864	0	4
2026.01.22	10:00:00	1.34308	1.34327	1.34095	1.34179	3781	0	4
2026.01.22	11:00:00	1.34187	1.34462	1.34170	1.34437	3502	0	4
2026.01.22	12:00:00	1.34436	1.34503	1.34362	1.34475	2913	0	4
2026.01.22	13:00:00	1.34474	1.34526	1.34014	1.34204	6252	0	4
2026.01.22	14:00:00	1.34202	1.34412	1.34150	1.34252	4114	0	4
2026.01.22	15:00:00	1.34252	1.34379	1.34064	1.34228	5107	0	4
2026.01.22	16:00:00	1.34228	1.34523	1.34221	1.34466	5277	0	4
2026.01.22	17:00:00	1.34465	1.34843	1.34456	1.34772	5348	0	4
2026.01.22	18:00:00	1.34778	1.34986	1.34774	1.34891	4456	0	4
2026.01.22	19:00:00	1.34891	1.34954	1.34740	1.34921	3949	0	4
2026.01.22	20:00:00	1.34920	1.35021	1.34903	1.34986	2238	0	4
2026.01.22	21:00:00	1.34986	1.34992	1.34858	1.34904	2290	0	4
2026.01.22	22:00:00	1.34903	1.35031	1.34880	1.34968	2075	0	4
2026.01.22	23:00:00	1.34963	1.35066	1.34954	1.35025	1295	0	5
2026.01.23	00:00:00	1.34844	1.34998	1.34843	1.34990	1874	0	63
2026.01.23	01:00:00	1.34996	1.35082	1.34986	1.34991	837	0	6
2026.01.23	02:00:00	1.34992	1.35006	1.34948	1.34958	1671	0	5
2026.01.23	03:00:00	1.34959	1.35040	1.34952	1.34974	2493	0	5
2026.01.23	04:00:00	1.34973	1.34979	1.34911	1.34924	1696	0	5
2026.01.23	05:00:00	1.34925	1.34949	1.34881	1.34901	1768	0	5
2026.01.23	06:00:00	1.34902	1.34974	1.34895	1.34968	1139	0	5
2026.01.23	07:00:00	1.34966	1.35002	1.34955	1.34982	1288	0	5
2026.01.23	08:00:00	1.34977	1.34992	1.34827	1.34835	2634	0	5
2026.01.23	09:00:00	1.34836	1.35114	1.34836	1.34923	4670	0	4
2026.01.23	10:00:00	1.34922	1.35022	1.34819	1.35011	5001	0	4
2026.01.23	11:00:00	1.35012	1.35344	1.34982	1.35296	5016	0	4
2026.01.23	12:00:00	1.35297	1.35365	1.35221	1.35263	3195	0	4
2026.01.23	13:00:00	1.35265	1.35322	1.35139	1.35178	4046	0	4
2026.01.23	14:00:00	1.35182	1.35318	1.35174	1.35284	3334	0	4
2026.01.23	15:00:00	1.35282	1.35344	1.35239	1.35250	3765	0	4
2026.01.23	16:00:00	1.35250	1.35378	1.35203	1.35360	3725	0	4
2026.01.23	17:00:00	1.35364	1.35671	1.35343	1.35642	4152	0	4
2026.01.23	18:00:00	1.35641	1.35976	1.35606	1.35882	4911	0	4
2026.01.23	19:00:00	1.35881	1.36224	1.35859	1.36082	6713	0	4
2026.01.23	20:00:00	1.36081	1.36091	1.35917	1.36052	5138	0	4
2026.01.23	21:00:00	1.36053	1.36289	1.36051	1.36234	3630	0	4
2026.01.23	22:00:00	1.36234	1.36378	1.36215	1.36366	3620	0	4
2026.01.23	23:00:00	1.36366	1.36450	1.36321	1.36424	3162	0	5
2026.01.26	00:00:00	1.36589	1.36809	1.36564	1.36736	843	0	77
2026.01.26	01:00:00	1.36749	1.36797	1.36544	1.36643	3509	0	6
2026.01.26	02:00:00	1.36644	1.36671	1.36431	1.36670	4158	0	5
2026.01.26	03:00:00	1.36671	1.36740	1.36581	1.36608	4031	0	5
2026.01.26	04:00:00	1.36607	1.36794	1.36589	1.36691	3248	0	5
2026.01.26	05:00:00	1.36688	1.36688	1.36548	1.36597	2151	0	5
2026.01.26	06:00:00	1.36598	1.36673	1.36530	1.36597	2087	0	5
2026.01.26	07:00:00	1.36596	1.36694	1.36579	1.36665	2072	0	5
2026.01.26	08:00:00	1.36666	1.36681	1.36558	1.36561	2596	0	5
2026.01.26	09:00:00	1.36568	1.36760	1.36441	1.36464	4302	0	4
2026.01.26	10:00:00	1.36462	1.36678	1.36426	1.36622	5654	0	4
2026.01.26	11:00:00	1.36623	1.36769	1.36581	1.36717	5347	0	4
2026.01.26	12:00:00	1.36720	1.36753	1.36663	1.36706	4181	0	4
2026.01.26	13:00:00	1.36707	1.36733	1.36647	1.36659	3576	0	4
2026.01.26	14:00:00	1.36659	1.36725	1.36477	1.36529	3627	0	4
2026.01.26	15:00:00	1.36530	1.36616	1.36430	1.36614	4508	0	4
2026.01.26	16:00:00	1.36614	1.36913	1.36580	1.36910	4919	0	4
2026.01.26	17:00:00	1.36912	1.37124	1.36883	1.37079	5147	0	4
2026.01.26	18:00:00	1.37075	1.37129	1.36929	1.36965	4874	0	4
2026.01.26	19:00:00	1.36966	1.37039	1.36856	1.36878	3789	0	4
2026.01.26	20:00:00	1.36878	1.37012	1.36847	1.36884	3561	0	4
2026.01.26	21:00:00	1.36884	1.36885	1.36753	1.36820	3936	0	4
2026.01.26	22:00:00	1.36821	1.36857	1.36787	1.36802	3101	0	4
2026.01.26	23:00:00	1.36803	1.36861	1.36740	1.36780	1551	0	4
2026.01.27	00:00:00	1.36734	1.36787	1.36698	1.36752	1083	0	63
2026.01.27	01:00:00	1.36743	1.36791	1.36734	1.36747	1047	0	6
2026.01.27	02:00:00	1.36748	1.36813	1.36722	1.36731	2164	0	5
2026.01.27	03:00:00	1.36730	1.36825	1.36698	1.36793	2549	0	5
2026.01.27	04:00:00	1.36792	1.37004	1.36767	1.36958	2309	0	5
2026.01.27	05:00:00	1.36955	1.36955	1.36821	1.36826	2145	0	5
2026.01.27	06:00:00	1.36825	1.36880	1.36719	1.36745	2187	0	5
2026.01.27	07:00:00	1.36743	1.36814	1.36711	1.36779	2307	0	5
2026.01.27	08:00:00	1.36780	1.36899	1.36772	1.36816	2666	0	5
2026.01.27	09:00:00	1.36812	1.36900	1.36696	1.36740	4446	0	4
2026.01.27	10:00:00	1.36740	1.36770	1.36637	1.36746	5101	0	4
2026.01.27	11:00:00	1.36744	1.36997	1.36679	1.36990	4609	0	4
2026.01.27	12:00:00	1.36983	1.37032	1.36828	1.37029	5456	0	4
2026.01.27	13:00:00	1.37031	1.37120	1.37004	1.37104	3678	0	4
2026.01.27	14:00:00	1.37102	1.37412	1.37079	1.37404	5951	0	4
2026.01.27	15:00:00	1.37405	1.37484	1.37253	1.37349	6805	0	4
2026.01.27	16:00:00	1.37350	1.37761	1.37310	1.37695	6788	0	4
2026.01.27	17:00:00	1.37696	1.37907	1.37471	1.37513	7645	0	4
2026.01.27	18:00:00	1.37512	1.37906	1.37507	1.37798	6312	0	4
2026.01.27	19:00:00	1.37799	1.37880	1.37606	1.37871	5707	0	4
2026.01.27	20:00:00	1.37871	1.37909	1.37757	1.37767	4972	0	4
2026.01.27	21:00:00	1.37767	1.37840	1.37740	1.37828	3325	0	4
2026.01.27	22:00:00	1.37827	1.38685	1.37759	1.38363	6319	0	4
2026.01.27	23:00:00	1.38361	1.38558	1.38287	1.38523	5126	0	5
