<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.28	17:00:00	1.08640	1.08769	1.08578	1.08749	4810	0	2
2024.05.28	18:00:00	1.08748	1.08796	1.08712	1.08781	3069	0	2
2024.05.28	19:00:00	1.08782	1.08789	1.08705	1.08747	2128	0	2
2024.05.28	20:00:00	1.08746	1.08757	1.08644	1.08651	2962	0	2
2024.05.28	21:00:00	1.08650	1.08652	1.08550	1.08584	2431	0	2
2024.05.28	22:00:00	1.08585	1.08619	1.08558	1.08611	2063	0	2
2024.05.28	23:00:00	1.08612	1.08615	1.08560	1.08563	609	0	2
2024.05.29	00:00:00	1.08560	1.08595	1.08560	1.08571	1013	0	7
2024.05.29	01:00:00	1.08580	1.08597	1.08543	1.08565	621	0	2
2024.05.29	02:00:00	1.08565	1.08568	1.08510	1.08510	843	0	2
2024.05.29	03:00:00	1.08511	1.08519	1.08476	1.08512	1373	0	2
2024.05.29	04:00:00	1.08512	1.08570	1.08495	1.08516	1606	0	2
2024.05.29	05:00:00	1.08516	1.08540	1.08459	1.08462	1052	0	2
2024.05.29	06:00:00	1.08461	1.08484	1.08456	1.08472	1024	0	2
2024.05.29	07:00:00	1.08472	1.08483	1.08439	1.08477	899	0	2
2024.05.29	08:00:00	1.08478	1.08488	1.08442	1.08447	1082	0	2
2024.05.29	09:00:00	1.08447	1.08556	1.08447	1.08521	2461	0	2
2024.05.29	10:00:00	1.08520	1.08587	1.08506	1.08517	3075	0	2
2024.05.29	11:00:00	1.08518	1.08518	1.08291	1.08372	4389	0	2
2024.05.29	12:00:00	1.08371	1.08562	1.08368	1.08516	2581	0	2
2024.05.29	13:00:00	1.08515	1.08525	1.08410	1.08467	2050	0	2
2024.05.29	14:00:00	1.08466	1.08518	1.08353	1.08499	2836	0	2
2024.05.29	15:00:00	1.08498	1.08584	1.08461	1.08461	4259	0	2
2024.05.29	16:00:00	1.08462	1.08468	1.08317	1.08383	4917	0	2
2024.05.29	17:00:00	1.08384	1.08418	1.08111	1.08146	5795	0	2
2024.05.29	18:00:00	1.08145	1.08171	1.08088	1.08110	4189	0	2
2024.05.29	19:00:00	1.08110	1.08175	1.08074	1.08154	2695	0	2
2024.05.29	20:00:00	1.08153	1.08159	1.08072	1.08134	3078	0	2
2024.05.29	21:00:00	1.08134	1.08154	1.08047	1.08059	2141	0	2
2024.05.29	22:00:00	1.08059	1.08062	1.07999	1.08017	2118	0	2
2024.05.29	23:00:00	1.08018	1.08030	1.07999	1.08008	730	0	2
2024.05.30	00:00:00	1.08017	1.08040	1.08005	1.08030	246	0	9
2024.05.30	01:00:00	1.08030	1.08040	1.08001	1.08009	551	0	2
2024.05.30	02:00:00	1.08009	1.08023	1.07994	1.08012	887	0	2
2024.05.30	03:00:00	1.08011	1.08011	1.07953	1.07964	1681	0	2
2024.05.30	04:00:00	1.07964	1.08045	1.07955	1.07983	1882	0	2
2024.05.30	05:00:00	1.07983	1.07997	1.07938	1.07974	1402	0	2
2024.05.30	06:00:00	1.07975	1.07988	1.07960	1.07980	1326	0	2
2024.05.30	07:00:00	1.07980	1.07986	1.07920	1.07959	1388	0	2
2024.05.30	08:00:00	1.07958	1.07958	1.07882	1.07901	1748	0	2
2024.05.30	09:00:00	1.07901	1.07965	1.07894	1.07955	2942	0	2
2024.05.30	10:00:00	1.07955	1.08112	1.07931	1.08084	4106	0	2
2024.05.30	11:00:00	1.08085	1.08185	1.08032	1.08150	3600	0	2
2024.05.30	12:00:00	1.08149	1.08182	1.08112	1.08129	3244	0	2
2024.05.30	13:00:00	1.08128	1.08198	1.08084	1.08174	2660	0	2
2024.05.30	14:00:00	1.08174	1.08217	1.08139	1.08182	2323	0	2
2024.05.30	15:00:00	1.08179	1.08327	1.08128	1.08290	5215	0	2
2024.05.30	16:00:00	1.08290	1.08336	1.08253	1.08290	5567	0	2
2024.05.30	17:00:00	1.08292	1.08443	1.08286	1.08406	5383	0	2
2024.05.30	18:00:00	1.08407	1.08451	1.08360	1.08362	3695	0	2
2024.05.30	19:00:00	1.08362	1.08422	1.08358	1.08399	2264	0	2
2024.05.30	20:00:00	1.08399	1.08432	1.08389	1.08390	1705	0	2
2024.05.30	21:00:00	1.08390	1.08399	1.08350	1.08368	1813	0	2
2024.05.30	22:00:00	1.08368	1.08368	1.08268	1.08301	2445	0	2
2024.05.30	23:00:00	1.08301	1.08328	1.08290	1.08323	758	0	2
2024.05.31	00:00:00	1.08288	1.08340	1.08288	1.08325	771	0	5
2024.05.31	01:00:00	1.08327	1.08339	1.08318	1.08334	713	0	2
2024.05.31	02:00:00	1.08334	1.08335	1.08309	1.08313	644	0	2
2024.05.31	03:00:00	1.08314	1.08335	1.08292	1.08321	1954	0	2
2024.05.31	04:00:00	1.08321	1.08335	1.08202	1.08202	2342	0	2
2024.05.31	05:00:00	1.08201	1.08225	1.08114	1.08114	1824	0	2
2024.05.31	06:00:00	1.08114	1.08200	1.08111	1.08192	1530	0	2
2024.05.31	07:00:00	1.08193	1.08194	1.08155	1.08183	1218	0	2
2024.05.31	08:00:00	1.08182	1.08212	1.08170	1.08194	1449	0	2
2024.05.31	09:00:00	1.08194	1.08255	1.08145	1.08242	2815	0	2
2024.05.31	10:00:00	1.08241	1.08251	1.08166	1.08228	3590	0	2
2024.05.31	11:00:00	1.08227	1.08384	1.08225	1.08341	2857	0	2
2024.05.31	12:00:00	1.08341	1.08479	1.08335	1.08474	3482	0	2
2024.05.31	13:00:00	1.08475	1.08513	1.08446	1.08497	2532	0	2
2024.05.31	14:00:00	1.08497	1.08552	1.08481	1.08526	2628	0	2
2024.05.31	15:00:00	1.08526	1.08823	1.08493	1.08801	6329	0	2
2024.05.31	16:00:00	1.08801	1.08808	1.08652	1.08689	5338	0	2
2024.05.31	17:00:00	1.08687	1.08775	1.08511	1.08556	7111	0	2
2024.05.31	18:00:00	1.08555	1.08589	1.08417	1.08459	5494	0	2
2024.05.31	19:00:00	1.08460	1.08520	1.08397	1.08473	3271	0	2
2024.05.31	20:00:00	1.08473	1.08527	1.08453	1.08470	2007	0	2
2024.05.31	21:00:00	1.08471	1.08490	1.08410	1.08425	1901	0	2
2024.05.31	22:00:00	1.08425	1.08512	1.08406	1.08510	2649	0	2
2024.05.31	23:00:00	1.08509	1.08521	1.08462	1.08496	1207	0	2
2024.06.03	00:00:00	1.08464	1.08490	1.08440	1.08466	764	0	32
2024.06.03	01:00:00	1.08466	1.08544	1.08466	1.08511	1088	0	2
2024.06.03	02:00:00	1.08511	1.08530	1.08503	1.08524	769	0	2
